"item_id","Verb","DOsentence","PDsentence","judgement_rows","mean_DOpreference_01","sd_DOpreference_01","se_DOpreference_01"
"Alice gave a man who was from work a gift
Alice gave a gift to a man who was from work","give","Alice gave a man who was from work a gift","Alice gave a gift to a man who was from work",9,0.306666666666667,0.328557453118933,0.109519151039644
"Alice gave a woman wearing a hat the book
Alice gave the book to a woman wearing a hat","give","Alice gave a woman wearing a hat the book","Alice gave the book to a woman wearing a hat",10,0.334,0.361853254480014,0.114428046290137
"Alice gave him a gift
Alice gave a gift to him","give","Alice gave him a gift","Alice gave a gift to him",10,0.745,0.214229886907603,0.0677454385508312
"Alice gave him the job
Alice gave the job to him","give","Alice gave him the job","Alice gave the job to him",6,0.71,0.362049720342386,0.147806179392699
"Alice gave the woman who was from work a message
Alice gave a message to the woman who was from work","give","Alice gave the woman who was from work a message","Alice gave a message to the woman who was from work",10,0.46,0.345639503915086,0.109300808170236
"Bob gave a woman a message
Bob gave a message to a woman","give","Bob gave a woman a message","Bob gave a message to a woman",10,0.649,0.214136508901318,0.0677159098325087
"Bob gave the woman the book
Bob gave the book to the woman","give","Bob gave the woman the book","Bob gave the book to the woman",10,0.426,0.27657428176411,0.087460467259976
"John gave the man a message
John gave a message to the man","give","John gave the man a message","John gave a message to the man",14,0.635,0.216359743162952,0.0578245736575837
"John gave the woman something
John gave something to the woman","give","John gave the woman something","John gave something to the woman",13,0.461538461538462,0.321606544135484,0.0891976065696355
"John gave the woman wearing the hat something
John gave something to the woman wearing the hat","give","John gave the woman wearing the hat something","John gave something to the woman wearing the hat",8,0.12,0.126038542857787,0.0445613541728063
"Juan gave her a message
Juan gave a message to her","give","Juan gave her a message","Juan gave a message to her",11,0.752727272727273,0.21260719221564,0.0641034803918407
"Juan gave her the book
Juan gave the book to her","give","Juan gave her the book","Juan gave the book to her",9,0.64,0.165755844542508,0.0552519481808359
"Juan gave the man a gift
Juan gave a gift to the man","give","Juan gave the man a gift","Juan gave a gift to the man",10,0.625,0.289568644711405,0.0915696456256111
"Linda gave him something
Linda gave something to him","give","Linda gave him something","Linda gave something to him",7,0.581428571428571,0.154102625051032,0.058245317466752
"Linda gave the man from work the book
Linda gave the book to the man from work","give","Linda gave the man from work the book","Linda gave the book to the man from work",12,0.324166666666667,0.281019518355878,0.0811233472851526
"Linda gave the woman from work the job
Linda gave the job to the woman from work","give","Linda gave the woman from work the job","Linda gave the job to the woman from work",13,0.416923076923077,0.295335532781067,0.0819113389929703
"Maria gave a man something
Maria gave something to a man","give","Maria gave a man something","Maria gave something to a man",11,0.178181818181818,0.177697393442795,0.0535777800249011
"Maria gave a man who was wearing a hat something
Maria gave something to a man who was wearing a hat","give","Maria gave a man who was wearing a hat something","Maria gave something to a man who was wearing a hat",14,0.218571428571429,0.30729232243675,0.0821273277245989
"Maria gave a woman the job
Maria gave the job to a woman","give","Maria gave a woman the job","Maria gave the job to a woman",11,0.288181818181818,0.303638541091811,0.0915504647902226
"Mary gave a man a gift
Mary gave a gift to a man","give","Mary gave a man a gift","Mary gave a gift to a man",9,0.485555555555556,0.3540166348885,0.118005544962833
"Mary gave a woman the book
Mary gave the book to a woman","give","Mary gave a woman the book","Mary gave the book to a woman",10,0.26,0.233713975239441,0.0739068482768831
"Mary gave a woman who was from work the job
Mary gave the job to a woman who was from work","give","Mary gave a woman who was from work the job","Mary gave the job to a woman who was from work",9,0.207777777777778,0.3212000069185,0.107066668972833
"Mary gave the man the job
Mary gave the job to the man","give","Mary gave the man the job","Mary gave the job to the man",6,0.656666666666667,0.30467468990165,0.124382921299956
"Mary gave the man who was wearing the hat a gift
Mary gave a gift to the man who was wearing the hat","give","Mary gave the man who was wearing the hat a gift","Mary gave a gift to the man who was wearing the hat",12,0.435833333333333,0.271442554891566,0.0783587160680826
"Michael gave a man wearing a hat a message
Michael gave a message to a man wearing a hat","give","Michael gave a man wearing a hat a message","Michael gave a message to a man wearing a hat",10,0.309,0.327870231782162,0.103681670939896
"Alice lent a man who was from work a bike
Alice lent a bike to a man who was from work","lend","Alice lent a man who was from work a bike","Alice lent a bike to a man who was from work",10,0.275,0.181735460980453,0.0574697988318889
"Alice lent a woman a bike
Alice lent a bike to a woman","lend","Alice lent a woman a bike","Alice lent a bike to a woman",9,0.441111111111111,0.281044678140525,0.0936815593801749
"Alice lent the man something
Alice lent something to the man","lend","Alice lent the man something","Alice lent something to the man",10,0.416,0.279372312316179,0.0883452822107038
"Alice lent the woman wearing the hat something
Alice lent something to the woman wearing the hat","lend","Alice lent the woman wearing the hat something","Alice lent something to the woman wearing the hat",13,0.207692307692308,0.164830915696148,0.0457158706403189
